commit,label
皮膚癢來看病，吃藥兩天就好了！,5
"掛號時有說明要點痣，但護士並沒有多說什麼
直到進診間時醫師才告知點痣需自費，我嚇一跳並問到收費是一顆500，而我表示要再考慮一下，因為甚至比我找到的醫美價格還高，但「出來後掛號費$150是不退的，即便你沒有點痣或做任何處置」
（在此勸各位 我個人去之前打過三間皮膚科電話，自費還健保、大小顆或數量報價，在電話中就能解答而且不用付掛號費唷😂）

討論議題：試問病人的知後同意權重要嗎？

ps點痣失敗例子層出不窮 我詢問多間做足功課後因預算考量才沒選擇去醫美而是到評價好的該診所，雖然被「先斬後奏」，但過程中護士小姐的努力解釋跟態度是良好的👌",1
"十月三號晚間看診，過程中清清楚楚看了傷，也遵照醫生指示，
回家洗冷水澡，沒使用清潔劑，
離開診所當下，還服藥才離開，
病情沒有好轉，反而高燒，在別間的確診下證實我是另一種病，
具備傳染性，證實的這家診所也強烈建議我如果他們的藥有好轉的跡象，叫我盡快前往大醫院，",1
診所裡有好幾位醫師，每位態度都很客氣，服完藥及抹藥後效果也很好，也不太會推銷自費保養品，其他間一去就要花好多錢，這家不錯,5
"看過最差勁的皮膚科
進去看診不到15秒就出來
女醫生只說了這過敏 用清水洗臉 先吃藥擦藥 再回診
就這樣
真的就這樣

不知道自己去的到底是診所還是藥局

起碼也說一下為什麼會這樣 要如何避免
都沒有

不該因為看了評價4顆星而去
真的非常傻眼非常失望",1
馬醫生很專業不過之前給另外一個看 水痘被看成青春痘還吃了一陣子抗生素,3
"醫生已經不同人。跟以往完全不同。
態度超級冷漠，不耐煩，內外人員態度都一樣。個人建議，醫病關係再回學校上課。畢竟客人都是付費。難怪跟以前不同，沒見到其他客人，完全不用等待，直接看診",1
女醫生，態度親切，有耐心,5
醫生和護士都很不親切！態度上面讓人家感覺好像他們心情都不太好。糟糕！！病人問你問題就是不懂，回答說*當然*+態度不友善。看完有種讓人心情不舒服的感覺,1
想說的發現大家都反映過了。可見這家診所根本不想改善，不想賺錢。╮(‵▽′)╭,1
"是不知道醫師怎麼了?上週去看診，態度差到不行，直接兇我, 也不大讓我問關於吃藥方式的問題, 自顧自地講自己的內容。態度差到好像我欠他錢??? 發現很多網友評論跟我遇到一樣的問題。 開的藥的確有效，但看完病整個受氣!!",1
6月初因老婆手上起紅疹去該診所看診，結果竟然被鄒醫師診斷為疑似梅毒或濕疹，還要我們自行去檢驗所化驗，看完診出來到櫃台領藥時還被櫃台人員異樣眼光看待，感覺非常不舒服！後來你們開的藥擦了根本沒效，症狀反而持續蔓延擴散還更嚴重！後來6/27再至廖錫勳皮膚科診所就診，廖醫師一看就馬上說這是過敏症狀，馬上開了口服及外用兩種藥治療，迄今29號不過短短三天時間，症狀已痊癒！我老婆差點被你鄒醫師的烏龍離譜誤診害死！沒去中央衛福部或台中市衛生局檢舉你就算不錯了，特在此提醒各位網友小心謹慎！,1
等待時間約20分鐘，醫生跟櫃檯態度不錯,5
腳癢長水泡，鄒醫師看了之後說是香港腳，開了藥膏回家擦了之後也沒改善，反而越來越嚴重，後來到台中慈濟看中醫，醫師說那是過敏體質引起的汗皰疹，服用中藥後才痊癒沒在復發過。害我就這樣從高中開始癢了好幾年,1
"櫃檯小姐非常友善丶客氣，
鄒醫師專業又親切。",4
人與人相處都有磨合期，我與小確性之間當然也不例外，經過溝通協調後，我決定依然選擇小確性的醫美療程，知道不足之處後並作出修正者，更是有勇氣，更值得鼓勵！這也是我再次選擇小確性的原因之一！！我的服務小姐Sunny請多多指教喔，我的皮膚就交給妳及邵湘德醫生了！！,5
"醫生很專業又細心，目前治療後有皮膚改善的感覺，還不錯
500塊諮詢費可以抵療程，方案選擇沒有很複雜
術後關懷服務做得很好，對於術後不適想要諮詢卻不便前往的人來說非常貼心",5
不會隨便亂賣包套課程也不會強迫推銷的診所，雖是自費診所，但可以說是非常OK的選擇，服務很細膩，得到的效果是值得這個價格的！,5
長久都選擇在小確幸做醫美和保養，除了醫生給的建議和治療都很專業以外，也幾乎都不會滿足我常常想要做過頭的願望，不過關於這點我非常感謝，哈哈,5
我喜歡小確幸的很大原因是“沒有壓力”，你不用擔心買了沒有用的療程，從護理人員到醫生，他們會用專業推薦給你選擇，而不是說服你選擇,5
"會上診所看醫生，當然是有問題，才尋求醫療解決。
蘇醫師給人感覺不錯，耐心聽診，大力推薦，但他的門診不好排喔，前2-4個星期約診，是聰明的選擇。👍👍👍👍

近期因排不到給蘇醫師看診，心想就掛同時段的周醫師好了，但讓我一整個吐血，進了診間不知道在急什麼，拿出一張紙一直唸一直唸（是在誦經嗎），講超快，聽也聽不清楚，就這樣噴了2百元掛號費，拿的藥回家擦了還過敏。有夠不行👎🏻👎🏻👎🏻",5
"星期一早上復診、有兩位女醫生看診！前面排隊人潮都指定另一位女醫生、因為我趕時間所產以想說「羊醫師」沒人掛、能第一個看診....我也是頭ㄧ次掛這位女醫師、沒想到我踩到大地雷💣
沒耐性、態度不親切、健保藥也開得很硬、要多可以、「自己買」！！！自己買是無所謂啦、就是那個態度讓人不敢恭維。下次不會再掛這位女醫師了。",1
"覺得這邊的醫師不夠專業
開錯藥害到病人
非常不好的經驗
請大家慎重
也請醫師精進自己的專業",1
對於櫃檯小姐叫號的方式，只能一顆星不能再多了😂（診所內已經排長龍了，只能外面候診，快到自己的時候進來等了十五分鐘也還沒到，出去室外等又怕過號……室內候診區已經人滿為患了……）,1
"醫生很漂亮，且很有耐心
難怪每次都大排長龍
去其他診所看粟粒腫 都建議直接雷射 花很多錢
在承智看 反而醫生會親自用針 耐心的幫你清除 省很多錢
良心事業",5
謝謝陳駿逸醫生幫我變美麗😃,5
陳醫師看診仔細,5
"不是一個很愉快的看診經驗。

星期下午三點的門診，我有個這半年突然變大的黑痣需要諮詢，等待時間沒有很久，一進門醫生看了三秒鐘只問要自費雷射還是轉診大醫院⋯完全沒有解釋皮膚的問題，當下滿頭問號，我都不知道這是怎麼一回事要我怎麼決定治療方法？當我再追問下去時，旁邊的助理小姐立馬說時間到了，要請我出去，我從進診間到出門不到五分鐘⋯

出診間助理小姐當著大家面前，大聲說我的病情又是另一件事了⋯",1
"今天回診人一樣爆多的...
在旁邊看到有些等待的人真的態度很差臉很臭
幾十雙眼睛盯著一個櫃檯
我在旁邊看都覺得很佩服櫃檯的抗壓性
但看小姐要一邊掛號一邊撕單一邊接電話一邊收錢還要應對問問題的.問號碼的.催促的......等
手邊工作都沒停下來過也是很盡力了
值得加許的是今天的櫃檯小姐是上次有幫我換藥的那個瘦瘦年輕護理師
一樣有耐心.完全沒擺臭臉
也不會因為忙碌把明細丟桌上
還會說聲抱歉久等了
一個眼神一個動作跟語氣
一樣漫長的等待
就是讓人感受不一樣
我自己開公司都想挖角了
忍不住上來特別給一個讚👍",5
良醫!!不會只要病人求診 就打一針類固醇蓋住問題!!照醫師建議認真服藥，我的慢性尋麻疹改善啦！,5
"10/19點痣
早上進去不用等太久
醫師跟助理都很有耐心
講話也都很溫柔 ，而且是女醫師
問診的時候解釋一次
並且給清楚的衛教單
打之前會先上麻藥
之前去別間根本不管你直接打的 （超痛）
結束之後護理師會再叮嚀一次
可能我只點一顆痣，醫師還給我其他備用藥膏",5
"下午門診楊醫師很細心講解痣的養成，應注意事項！不會草草看診，用健保200元就可打3顆，真的很划算..再也不用專程跑嘉義...（不用自費買麻醉藥膏，人工貼片,也不會被推銷安瓶）
台中護士雷射後還會幫助貼透氣膠帶，再次說明應注意的地方...",5
連一顆心都不想給>,1
"懷疑五星是親友們給的
評分針對個人點痣感受撰寫
以前在別的縣市有做過點痣，就算手術簡單醫生也會詳細跟你說明痣的成因跟注意是否病變，這裡是進去指好哪幾顆要點就上麻藥出診間等了，有疑問也沒得到詳細的說明...
隔幾天拆膠帶，小顆的平痣傷口面積比另一顆較大的凸痣還大，而且凸痣邊緣還有明顯黑黑的沒打掉，過去在別縣市就診更大顆的凸痣也是能一次打得很乾淨，且傷口圓整，這裡打得真的不盡如人意。
護理師態度不錯，傷口照顧也講得很清楚，醫生感覺略敷衍但個人感受不像一些一星評價得那麼糟糕就是了。
另外價格真的很便宜，如果是很迷你得平痣來打應該是還可以的，如果痣的大小很明顯就三思吧。",2
"雷射除斑都亂打 護士說紅斑不打 結果醫生也打
連凹洞也打是怎樣 感覺護士比較像醫生",1
禮拜六下午過去看診，不知道是哪一位醫師，看診的時候從頭到尾只講了一句話：「自費的藥要兩個禮拜以後才能擦」，完全沒有說明一下傷口的狀況或者應該注意什麼的，然後就要預約回診的時間⋯⋯是在哈囉？對於幾天前才歷經車禍且剛拆線的病人，擔憂著臉部是否留下疤痕，況且我們還是拿著助行器進去看診的，如果我事前能夠知道來這裡看診等於有看跟沒看一樣的話，我們絕對不會這麼辛苦的過來的！,1
"很不喜歡不停被推銷保養品.....是業績壓力很大嗎
來這裡看滿多次了，全部覺得那位做比較久.短髮戴黑框眼鏡的護士最有耐心最親切，都會告訴來看病的人大概要等多久，這樣比較能掌握時間,謝謝妳
只不過坐著等看病的時候發現這裡的護士換了好多個，不知道是壓力太大還是怎樣，他們上班尤其是院長的診都很戰戰兢兢的忙進忙出......辛苦了",1
這這裡的藥量也太少！同樣的藥用洗髮精可以去別家診所自費100塊大罐50ml，這裡看診才給一瓶小的還是看起來像分裝的，多一瓶還要自費，自費價錢竟然跟別家診所大罐的差不多，就算自費一罐加看診的也沒別家的量多....太摳！,1
另一間西屯陳皮膚科我也去過，跟這間比風格差很多，也不是另間不好，就是這間的院長一個診很慢，我進去之後，院長非常細心的幫我到處看看，各種講解衛教，非常感謝，我是看病毒疣，不是醫美喔，醫美不要參考我的意見，綜上所述才會花時間來留。,5
這裡是美容院？不是皮膚科嗎？第一次遇到皮膚科一直推銷保養品感覺他們壓力很大沒買單不行！,1
之前去看了2次囊腫痘，間隔1-2週左右，加上痘痘也一段時間才去看醫生，所以看兩次我覺得是合理的。但是第二次看診的是年長的男性醫生，態度非常差。因為痘痘還有腫塊，我問醫生能否幫我擠掉，他很凶地說擠不出來，沒有用，甚至說：「你自己擠看看啊。」我說那不處理就很醜，他說：「就是醜啊，沒辦法。」整個只是想打發人，而不是解決問題。（我後來是去另一家診所，醫生就幫我擠還給我除疤藥膏才好的哦。）,1
"身為一個從小在北屯長大的人，這間真的是我看過最爛的皮膚科診所沒有之一，男醫生很隨便且敷衍的看診，開的藥也完全沒有用。
不知道為何這兩年越來越多人排隊，或許有新醫生後有改善狀況，大家還是可以嘗試看看，但對我而言就是個超令人無言的皮膚科。",1
"男醫生主觀嚴重誤判，我妹妹還去掛急診，醫生還說要住院觀察，當初就說很痛了，會癢，嘴巴有些微腫起，當初蓮華男醫生還說大驚小怪。

現在加上吃錯藥延誤，嘴巴腫的跟臘腸一樣，周日上急診抽血，醫生藥別吃，真的吃錯藥了。

我妹妹直接被抬出去，真的是又剛好周日，真的不推薦。",1
"看過不少皮膚科，其他間都給我一種例行公事每個人開一樣的藥草草了事的感覺
喜歡這間醫生問診細心，對症下藥，也會分享平時怎麼照顧皮膚， 大推！！！！！",5
"端午節連假好多診所沒開，詢問多處，終於發現蓮華有營業，有點遠，但還是去試試，天氣太熱手腳上長了許多不明紅色小泡泡，搔癢難耐困擾多時，家人藥局買的藥膏隨手拿來擦了，效果不彰。

放假來看病的人還不少等待時間有點長，不過尚可接受！附近商家不少心想下次來要先來掛號再去喝個飲料，就不用和其他人擠等著侯診！
ㄧ直有人問還要等幾位，櫃檯小姐也都親切的回覆。

輪到我，醫師診斷是汗泡疹，拿回來的藥吃了三天配合藥膏多擦幾次,幾天就好得差不多了，已不再癢得不停的想抓，之前也曾看過幾次其他診所，一直診斷是濕疹或黴菌感染，擦的藥膏雖有改善效果卻不佳。
醫師說明簡單明瞭，看診不會解說太多不相干的事情佔用太多時間，現在",4
可能剛好遇到醫生懶的下樓，大廳沒有其他等候的客人，但我等了半小時有卻等不到人，不愧是評價3.6,1
很貴 所以剛開始態度很好還有VIP包廂 打東西的時候有給你壓力球捏 結果最後一次超爛 而且隨便打一打就沒了 本來想再繼續賣課程 現在完全不想要了,1
"好到棒
棒到無從說起
果然是PRO級的美女醫師😀👌✌🖕
我皮膚炎已經好了，謝謝你美女醫師
辛苦你了",5
不知道為什麼，門診後順道問醫美的部分，就說要收諮詢費，然後來諮詢的人這麼愛理不理，說明的時候沒有表情丶眼神驕傲丶話很少，就已經說我不了解這方面資訊，才來諮詢的了～態度這麼差，有錢也不會想來這裡做呢！今天主要去看痘痘，拿了藥回來，一個星期後再看效果怎麼樣吧！,2
光線柔和～環境舒適,5
"老醫生很仔細也很厲害
態度我也覺得很親和
可能說話直接
但是很真 不會講些很官方的
也會給你建議生活習慣什麼的
我覺得都是為患者好
有些評論也只是覺得態度（這因人而異感覺就給一顆星 ）
但重要的醫術才是根本
生意好不好不是重點 重點是治療好不好
如果只是因為用人潮來判斷醫生好不好真的也太膚淺
但好醫生值得我寫一篇挺五顆星",5
第一次遇到皮膚科醫生，願意花很多時間分析造成的原因及案例分享，從病因的產生 到如何的治療與預防，真的是一個用心的醫生。,5
"醫生的態度真的需要改善。
不要把香港的心態帶到台灣來。
我發現他們夫妻的想法都差不多。
所以生意一直不是很好。
如果能改善他的態度。
我相信生意會更好。",1
醫生相當專業！經驗豐富且講解詳細！之前去別間看腳底病毒疣因為醫生沒有積極處理，一直好不了，之後換到理想皮膚科診所找醫生，看了兩次就痊癒了！真心推薦！,5
醫生人很好講解很詳細，手上的病毒疣去其他診所看了很久看不好，來這裏之後沒幾次就痊癒了，雖然不知道為什麼有些的留言很負面，但是以我的觀點來看醫生是很專業的，推薦給大家。,5
