commit,label
𥚃,1
🧐🧐🧐,2
🦷,3
🥼,4
🥺🥺🥺,5
🥺🥺,6
🥺花,7
🥺,8
🥳🥳🥳🥳,9
🥳🥳🥳,10
🥳,11
🥰🥰🥰🥰🥰,12
🥰🥰,13
🥰月子,14
🥰,15
🤷🏻,16
🤷‍♀️,17
🤷,18
🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,19
🤬,20
🤪🤪,21
🤩🤩🤩🤩🤩,22
🤩👍🏻,23
🤩,24
🤣🤣🤣,25
🤣🤣,26
🤣,27
🤙,28
🤗🤗🤗,29
🤗🤗,30
🤗,31
🤔,32
🤓,33
🤒,34
🤐,35
🙏🙏🙏,36
🙏🏻🙏🏻,37
🙏櫃檯,38
🙏,39
🙌🏻,40
🙇🏼‍♀,41
🙇🏼,42
🙇🏻,43
🙄🙄🙄🙄🙄,44
🙄🙄🙄,45
🙄🙄,46
🙄😤,47
🙄️,48
🙄飯,49
🙄,50
🙂🙂🙂,51
🙂🙂,52
🙂麥,53
🙂,54
🙁,55
🙀🙀🙀,56
😻,57
😷,58
😳,59
😱😱😱,60
😱😱,61
😱天,62
😭😭😭😭,63
😭😭😭,64
😭💉,65
😭,66
😫,67
😩,68
😧,69
😤😤,70
😤,71
😣,72
😢😢,73
😢,74
😡🤬,75
😡😡😡😡😡,76
😡😡😡,77
😡😡,78
😡快,79
😡,80
😠😠,81
😠,82
😝,83
😜,84
😚,85
😘😘😘,86
😘😘,87
😘,88
😔😔😔,89
😔,90
😓😓😓,91
😓,92
😒😬😡,93
😒😒,94
😑😑,95
😑,96
😐,97
😏,98
😎,99
😍😍😍,100
😍😀,101
😍,102
😋,103
😊🤩,104
😊😊😊,105
😊😊,106
😊✨✨🔺,107
😊,108
😉,109
😇😇😇😇😇😇,110
😇😇,111
😇,112
😆,113
😅😅,114
😅我哥,115
😅,116
😄😄😄,117
😄😄,118
😄,119
😃😃😃,120
😃😃,121
😃,122
😂🤣🤣😁🤣😁😁👍👍👍,123
😂😂,124
😂拔完,125
😂好,126
😂,127
😁😁,128
😁,129
😀😀,130
😀👌✌🖕,131
😀,132
🖕🖕,133
🔥🔥🔥🔥,134
🔥🔥,135
🔥,136
📣📣📣,137
💯💯💯,138
💯💯,139
💩💩💩,140
💦,141
💢,142
💟,143
💛💛💛,144
💗💗,145
💕💕💕,146
💕💕,147
💕,148
💓👍,149
💁,150
👩‍⚕,151
👨‍⚕,152
👏👏👏,153
👏👏,154
👏🏻術,155
👏,156
👎👎👎,157
👎🏻👎🏻👎🏻👎🏻,158
👎🏻👎🏻👎🏻,159
👎🏻,160
👎張,161
👎,162
👍💗💯,163
👍👍👍👍👍👍👍👍👍👍,164
👍👍👍👍👍,165
👍👍👍👍,166
👍👍👍13樓,167
👍👍👍,168
👍👍,169
👍👉,170
👍🏼👍🏼👍🏼👍🏼,171
👍🏼,172
👍🏻🙏😄,173
👍🏻👍🏻👍🏻👍🏻,174
👍🏻👍🏻👍🏻,175
👍🏻👍🏻,176
👍🏻,177
👍術,178
👍藥,179
👍敗,180
👍大推,181
👍☺,182
👍,183
👌🏻👍🏻,184
👌,185
👋,186
👉,187
👂,188
👀,189
🐔🐔,190
🏥,191
🎀,192
🌼💓,193
🌟🌟🌟🌟🌟,194
🌟🌟,195
🈶,196
�,197
￣,198
ｌ３樓,199
＾＾,200
］,201
［,202
ＸＤ,203
ＱＱ,204
Ｐａｃ,205
ＰＲＰ,206
ＮＩＣＥ,207
ＧＯＯＤ,208
＠＠,209
＞＜,210
＝＝,211
＝,212
；,213
：62971,214
：214K,215
：1,216
：,217
９月,218
７,219
５,220
３０,221
３,222
２０ｌ號,223
２０,224
２,225
１０６年,226
１,227
０,228
．,229
－＂－,230
－,231
＋,232
＊,233
＆,234
＂,235
︿,236
️🧑‍⚕,237
️🙇🏻,238
️💕💕,239
️👨,240
️除,241
️切,242
️⭐,243
️❤,244
️❗,245
️✌,246
️☺,247
️,248
龜速,249
龜度,250
龔峪樂,251
龍龍,252
龍門,253
龍貓,254
龍潭,255
龍欣,256
龍,257
齒雕,258
齒科,259
齊聚一堂,260
齊力,261
齊全,262
齁,263
鼻頭,264
鼻雕,265
鼻血,266
鼻腔,267
鼻胃鏡,268
鼻胃管,269
鼻竇炎,270
鼻竇,271
鼻炎,272
鼻涕,273
鼻水流,274
鼻水,275
鼻孔,276
鼻子,277
鼻塞,278
鼻噴劑,279
鼻喉,280
鼻咽癌,281
鼻中膈,282
鼻,283
鼓起,284
鼓吹,285
鼓勵,286
黴菌,287
黴漿菌,288
點點,289
點餐,290
點頭,291
點醒,292
點進去,293
點讚,294
點算,295
點眼,296
點痣,297
點狀,298
點滴針,299
點滴管,300
點滴液積,301
點滴架,302
點滴,303
點水泡,304
點數,305
點心,306
點完,307
點出,308
點六七,309
點不過,310
點上,311
點,312
默默,313
默契,314
黑點,315
黑黑,316
黑色,317
黑線,318
黑白,319
黑痣,320
黑框,321
黑格爾,322
黑心,323
黑影,324
黑字,325
黑名單,326
黑傑克,327
黑人,328
黑,329
黏起,330
黏膜,331
黏紗布,332
黏土,333
黏住,334
黏,335
黄揆洲,336
黃鴻安,337
黃髮色,338
黃骨科,339
黃靜雯,340
黃隆蓉,341
黃金期,342
黃金,343
黃芯怡,344
黃膿黏性,345
黃緒光,346
黃筱菁,347
黃禎憲,348
黃疸痛,349
黃疸,350
黃正憲,351
黃文彬,352
黃敬軒,353
黃惠諭,354
黃富源,355
黃宗仁,356
黃子晏,357
黃婉容,358
黃婉,359
黃姓,360
黃如瑩,361
黃啟銘,362
黃克章,363
黃元德,364
黃偉程,365
黃乙珍,366
黃,367
麽,368
麻雀,369
麻針,370
麻醉針,371
麻醉費,372
麻醉藥,373
麻醉師,374
麻醉,375
麻豆,376
麻藥,377
麻肩,378
麻痺,379
麻疹,380
麻煩,381
麻油雞,382
麻油,383
麻利,384
麻,385
麵龜,386
麵湯,387
麵包,388
麥粒腫,389
麥寮鄉,390
麥克筆,391
麗雯超,392
麗水堂,393
麗明,394
麗思,395
鹹,396
鶯歌,397
鵝子,398
鴿子,399
鴕鳥,400
鳳山區,401
鳳山人,402
鳳山,403
鳥,404
鯛民,405
鮮美,406
鮮明,407
鮮少,408
魷魚,409
魚缸,410
魚油,411
魚刺,412
魚,413
魔鬼,414
魔女,415
魏重耀,416
魏淩鴻,417
魏崢,418
魏,419
魄力,420
鬼打牆狂,421
鬼打牆,422
鬼屋,423
鬼吼,424
鬼,425
鬧脾氣,426
鬧場,427
鬧,428
鬍鬚,429
鬆開,430
鬆散,431
鬆手,432
鬆弛劑,433
鬆弛,434
鬆,435
髮量,436
高👍,437
高齡,438
高高密度,439
高高在上,440
高高再上,441
高高,442
高額,443
高頻,444
高韶屏,445
高雄市,446
高雄,447
高階,448
高鐵站,449
高鐵,450
高醫,451
高達,452
高速,453
高超👨‍⚕,454
高超,455
高貴,456
高血脂,457
高血糖,458
高血壓,459
高血压,460
高處,461
高薪,462
高興,463
高膽固醇,464
高紹屏,465
高級,466
高等,467
高科技,468
高燒,469
高溫,470
高水準,471
高標,472
高榮,473
高明讚,474
高明診,475
高明細心,476
高明擦藥,477
高明大推,478
高明,479
高於,480
高推,481
高手,482
高待,483
高強,484
高度,485
高峰,486
高層次,487
高層,488
高尿酸血症,489
高尿酸,490
高尚,491
高奧,492
高壓,493
高名,494
高可信度,495
高到,496
高出,497
高價,498
高僧,499
高傲感,500
高傲,501
高信號,502
高低,503
高位,504
高人一等,505
高中生,506
高中,507
高一,508
高⋯,509
高,510
髖關節,511
髕骨,512
體驗給,513
體驗到,514
體驗價,515
體驗,516
體重,517
體質,518
體貼入微,519
體貼,520
體諒,521
體脂肪,522
體脂,523
體能,524
體系,525
體療,526
體現出,527
體現,528
體溫量,529
體溫計,530
體溫,531
體櫃台,532
體檢處,533
體檢科,534
體檢完,535
體檢單,536
體檢到,537
體檢,538
體會到,539
體會,540
體態,541
體恤,542
體型,543
體力,544
體制史,545
體制,546
體,547
髒讓,548
髒話,549
髒污,550
髒水龍頭,551
髒亂,552
髒,553
骨鬆,554
骨骨,555
骨頭病,556
骨頭,557
骨質,558
骨裂,559
骨科類,560
骨科林,561
骨科,562
骨盆髖,563
骨盆腔炎,564
骨盆,565
骨架,566
骨折,567
骨密,568
骨外科,569
骨刺,570
骨,571
驚險,572
驚訝,573
驚艷,574
驚慌,575
驚奇,576
驚嚇,577
驚嘆號,578
驚喜,579
驗鈔機,580
驗鈔,581
驗證,582
驗血,583
驗屍,584
驗尿,585
驗完,586
驗孕棒,587
驗孕,588
驗好,589
驗到,590
驗出來,591
驗出,592
驗光費,593
驗光師,594
驗光室,595
驗光單,596
驗光,597
驗,598
驕傲,599
驅,600
騷癢,601
騷擾,602
騙錢,603
騙進去,604
騙取,605
騙人,606
騙上去,607
騙,608
騎車,609
騎走,610
騎樓,611
騎,612
駡,613
駝背跟,614
駝背,615
駝,616
駕訓班,617
駕照,618
駕,619
駐診,620
駐,621
馮愛真,622
馮,623
馬馬虎虎,624
馬階,625
馬醫師,626
馬路,627
馬虎👍🏻,628
馬虎,629
馬稚芸,630
馬的,631
馬桶,632
馬快,633
馬後炮,634
