word,label
"['皮膚', '癢', '來', '看病', '吃', '藥', '兩', '天', '就', '好', '了']",5
"['掛號', '時', '有', '說明', '要', '點痣', '但', '護士', '並', '沒有', '多', '說', '什麼', '直到', '進診', '間', '時', '醫師', '才', '告知', '點痣', '需', '自費', '我', '嚇一跳', '並', '問到', '收費', '是', '一', '顆', '500', '而', '我', '表示', '要', '再', '考慮', '一下', '因為', '甚至', '比', '我', '找到', '的', '醫美', '價格', '還', '高', '但', '「', '出來', '後', '掛號費', '150', '是', '不', '退', '的', '即便', '你', '沒有', '點痣', '或', '做', '任何', '處置', '」', '在', '此', '勸', '各', '位', '我', '個人', '去', '之前', '打', '過', '三', '間', '皮膚科', '電話', '自費', '還', '健保', '大小顆', '或', '數量', '報價', '在', '電話', '中', '就', '能', '解答', '而且', '不用', '付', '掛號費', '唷😂', '討論', '議題', '：', '試問', '病人', '的', '知後', '同意權', '重要', '嗎', 'ps', '點痣', '失敗', '例子', '層出不窮', '我', '詢問', '多', '間', '做足', '功課', '後', '因', '預算', '考量', '才', '沒', '選擇', '去', '醫美', '而是', '到', '評價', '好', '的', '該', '診所', '雖然', '被', '「', '先斬後奏', '」', '但', '過程', '中', '護士', '小姐', '的', '努力', '解釋', '跟', '態度', '是', '良好', '的', '👌']",1
"['十月', '三號', '晚間', '看診', '過程', '中', '清清楚楚', '看', '了', '傷', '也', '遵照', '醫生', '指示', '回家', '洗', '冷水澡', '沒', '使用', '清潔劑', '離開', '診所', '當下', '還', '服藥', '才', '離開', '病情', '沒有', '好轉', '反而', '高燒', '在', '別', '間', '的', '確診', '下', '證實', '我', '是', '另', '一', '種', '病', '具備', '傳染性', '證實', '的', '這', '家', '診所', '也', '強烈', '建議', '我', '如果', '他們', '的', '藥', '有', '好轉', '的', '跡象', '叫', '我', '盡快', '前往', '大', '醫院']",1
"['診所', '裡', '有', '好幾', '位', '醫師', '每', '位', '態度', '都', '很', '客氣服', '完藥', '及', '抹', '藥', '後', '效果', '也', '很', '好', '也', '不', '太', '會', '推銷', '自費', '保養品', '其他', '間', '一', '去', '就', '要', '花', '好多', '錢', '這', '家', '不錯']",5
"['看過', '最', '差勁', '的', '皮膚科', '進去', '看診', '不到', '15', '秒', '就', '出來', '女', '醫生', '只', '說', '了', '這', '過敏', '用', '清水', '洗臉', '先', '吃', '藥', '擦', '藥', '再', '回診', '就', '這樣', '真的', '就', '這樣', '不', '知道', '自己', '去', '的', '到底', '是', '診所', '還是', '藥局', '起碼', '也', '說', '一下', '為什麼', '會', '這樣', '要', '如何', '避免', '都', '沒有', '不', '該', '因為', '看', '了', '評價', '4', '顆', '星', '而', '去', '真的', '非常', '傻眼', '非常', '失望']",1
"['馬', '醫生', '很', '專業', '不過', '之前', '給', '另外', '一', '個', '看', '水痘', '被', '看成', '青春痘', '還', '吃', '了', '一陣子', '抗生素']",3
"['醫生', '已經', '不同', '人', '跟', '以往', '完全', '不同', '態度', '超級', '冷漠', '不耐煩', '內外', '人員', '態度', '都', '一樣', '個人', '建議', '醫病', '關係', '再', '回', '學校', '上課', '畢竟', '客人', '都', '是', '付費', '難怪', '跟', '以前', '不同', '沒', '見到', '其他', '客人', '完全', '不用', '等待', '直接', '看診']",1
"['女', '醫生', '態度', '親切', '有', '耐心']",5
"['醫生', '和', '護士', '都', '很', '不', '親切', '態度', '上面', '讓', '人家', '感覺', '好像', '他們', '心情', '都', '不', '太', '好', '糟糕', '病人', '問', '你', '問題', '就是', '不', '懂', '回答', '說', '當然', '態度', '不', '友善', '看完', '有', '種', '讓', '人', '心情', '不', '舒服', '的', '感覺']",1
"['想', '說', '的', '發現', '大家', '都', '反映', '過', '了', '可見', '這', '家', '診所', '根本', '不', '想', '改善', '不', '想', '賺錢', '╮‵▽', '′╭']",1
"['是', '不', '知道', '醫師', '怎麼', '了', '上', '週', '去', '看診', '態度', '差', '到', '不行', '直接', '兇', '我', '也', '不大', '讓', '我', '問', '關於', '吃', '藥', '方式', '的', '問題', '自顧自', '地', '講', '自己', '的', '內容', '態度', '差到', '好像', '我', '欠', '他', '錢', '發現', '很多', '網友', '評論', '跟', '我', '遇到', '一樣', '的', '問題', '開', '的', '藥', '的確', '有效', '但', '看完', '病', '整', '個', '受氣']",1
"['6月', '初', '因', '老婆', '手', '上', '起', '紅疹', '去', '該', '診所', '看診', '結果', '竟然', '被', '鄒', '醫師', '診斷為', '疑似', '梅毒', '或', '濕疹', '還要', '我們', '自行', '去', '檢驗所', '化驗', '看完', '診出來到', '櫃台', '領', '藥', '時', '還', '被', '櫃台', '人員', '異樣', '眼光', '看待', '感覺', '非常', '不', '舒服', '後來', '你們', '開', '的', '藥', '擦', '了', '根本', '沒效', '症狀', '反而', '持續', '蔓延', '擴散', '還', '更', '嚴重', '後來', '627', '再', '至', '廖錫勳', '皮膚科', '診所', '就診', '廖', '醫師', '一', '看', '就', '馬上', '說', '這', '是', '過敏', '症狀', '馬上', '開', '了', '口服', '及', '外用', '兩', '種', '藥', '治療', '迄', '今', '29', '號', '不過', '短短', '三', '天', '時間', '症狀', '已', '痊癒', '我', '老婆', '差點', '被', '你', '鄒', '醫師', '的', '烏龍', '離譜', '誤診', '害死', '沒', '去', '中央', '衛福部', '或', '台中市', '衛生局', '檢舉', '你', '就算', '不錯', '了', '特', '在', '此', '提醒', '各', '位', '網友', '小心', '謹慎']",1
"['等待', '時間', '約', '20', '分鐘', '醫生', '跟', '櫃檯', '態度', '不錯']",5
"['腳', '癢', '長', '水泡', '鄒', '醫師', '看', '了', '之後', '說', '是', '香港腳', '開', '了', '藥膏', '回家', '擦', '了', '之後', '也', '沒', '改善', '反而', '越來越', '嚴重', '後來', '到', '台中', '慈濟', '看', '中醫', '醫師', '說', '那', '是', '過敏', '體質', '引起', '的', '汗皰疹', '服用', '中藥', '後', '才', '痊癒', '沒', '在', '復發', '過', '害', '我', '就', '這樣', '從', '高中', '開始', '癢', '了', '好幾', '年']",1
"['櫃檯', '小姐', '非常', '友善', '丶', '客氣', '鄒', '醫師', '專業', '又', '親切']",4
"['人', '與', '人', '相處', '都', '有', '磨合期', '我', '與', '小確性', '之間', '當然', '也', '不', '例外', '經過', '溝通', '協調', '後', '我', '決定', '依然', '選擇', '小確性', '的', '醫美', '療程', '知道', '不足', '之', '處', '後', '並', '作出', '修正', '者', '更', '是', '有', '勇氣', '更', '值得', '鼓勵', '這', '也', '是', '我', '再次', '選擇', '小確性', '的', '原因', '之', '一', '我', '的', '服務', '小姐', 'Sunny', '請', '多多', '指教', '喔', '我', '的', '皮膚', '就', '交給', '妳', '及', '邵湘德', '醫生', '了']",5
"['醫生', '很', '專業', '又', '細心', '目前', '治療', '後', '有', '皮膚', '改善', '的', '感覺', '還', '不錯', '500', '塊', '諮詢費', '可以', '抵療程', '方案', '選擇', '沒有', '很', '複雜', '術後', '關懷', '服務', '做', '得', '很', '好', '對於', '術', '後', '不適', '想要', '諮詢', '卻', '不便', '前往', '的', '人', '來', '說', '非常', '貼心']",5
"['不會', '隨便', '亂賣', '包套', '課程', '也', '不會', '強迫', '推銷', '的', '診所', '雖', '是', '自費', '診所', '但', '可以', '說', '是', '非常', 'OK', '的', '選擇', '服務', '很', '細膩', '得到', '的', '效果', '是', '值得', '這', '個', '價格', '的']",5
"['長久', '都', '選擇', '在', '小確幸', '做', '醫美', '和', '保養', '除了', '醫生', '給', '的', '建議', '和', '治療', '都', '很', '專業', '以外', '也', '幾乎', '都', '不會', '滿足', '我', '常常', '想要', '做', '過', '頭', '的', '願望', '不過', '關於', '這', '點', '我', '非常', '感謝', '哈哈']",5
"['我', '喜歡', '小確幸', '的', '很', '大', '原因', '是', '沒有', '壓力', '你', '不用', '擔心', '買', '了', '沒有用', '的', '療程', '從', '護理', '人員', '到', '醫生', '他們', '會', '用', '專業', '推薦給', '你', '選擇', '而', '不', '是', '說服', '你', '選擇']",5
"['會', '上', '診所', '看醫生', '當然', '是', '有', '問題', '才', '尋求', '醫療', '解決', '蘇', '醫師', '給', '人', '感覺', '不錯', '耐心', '聽診', '大力', '推薦', '但', '他', '的', '門診', '不', '好', '排', '喔', '前', '2', '-', '4', '個', '星期', '約診', '是', '聰明', '的', '選擇', '👍👍👍👍', '近期', '因', '排', '不', '到', '給', '蘇', '醫師', '看診', '心想', '就', '掛同', '時段', '的', '周', '醫師', '好了', '但', '讓', '我', '一', '整', '個', '吐', '血', '進', '了', '診', '間', '不', '知道', '在', '急', '什麼', '拿出', '一', '張', '紙', '一直', '唸', '一直', '唸', '是', '在', '誦經', '嗎', '講', '超快', '聽', '也', '聽', '不', '清楚', '就', '這樣', '噴', '了', '2百', '元', '掛號費', '拿', '的', '藥', '回家', '擦', '了', '還', '過敏', '有夠', '不行', '👎🏻👎🏻👎🏻']",5
"['星期一', '早上', '復診', '有', '兩', '位', '女', '醫生', '看診', '前面', '排隊', '人潮', '都', '指定', '另', '一', '位', '女', '醫生', '因為', '我', '趕時間', '所', '產', '以', '想', '說', '「', '羊', '醫師', '」', '沒', '人', '掛', '能', '第一', '個', '看診', '我', '也', '是', '頭', 'ㄧ', '次', '掛', '這', '位', '女', '醫師', '沒想到', '我', '踩到', '大地', '雷💣', '沒', '耐性', '態度', '不', '親切', '健保藥', '也', '開', '得', '很', '硬', '要', '多', '可以', '「', '自己', '買', '」', '自己', '買', '是', '無所謂', '啦', '就', '是', '那', '個', '態度', '讓', '人', '不', '敢', '恭維', '下', '次', '不會', '再', '掛', '這', '位', '女', '醫師', '了']",1
"['覺得', '這邊', '的', '醫師', '不', '夠', '專業', '開錯', '藥害到', '病人', '非常', '不', '好', '的', '經驗', '請', '大家', '慎重', '也', '請', '醫師', '精進', '自己', '的', '專業']",1
"['對於', '櫃檯', '小姐', '叫號', '的', '方式', '只', '能', '一', '顆', '星', '不能', '再', '多', '了', '😂', '診所', '內', '已經', '排', '長龍', '了', '只', '能', '外面', '候診', '快', '到', '自己', '的', '時候', '進來', '等', '了', '十五', '分鐘', '也', '還', '沒', '到', '出去', '室', '外', '等', '又', '怕', '過號', '室', '內', '候診區', '已經', '人滿為患', '了']",1
"['醫生', '很', '漂亮', '且', '很', '有', '耐心', '難怪', '每', '次', '都', '大排長龍', '去', '其他', '診所', '看', '粟粒腫', '都', '建議', '直接', '雷射', '花', '很多', '錢', '在', '承智', '看', '反而', '醫生', '會', '親自', '用', '針', '耐心', '的', '幫', '你', '清除', '省', '很多', '錢', '良心', '事業']",5
"['謝謝', '陳駿逸', '醫生', '幫', '我', '變', '美麗😃']",5
"['陳', '醫師', '看診', '仔細']",5
"['不', '是', '一', '個', '很', '愉快', '的', '看診', '經驗', '星期', '下午', '三點', '的', '門診', '我', '有', '個', '這', '半', '年', '突然', '變大', '的', '黑痣', '需要', '諮詢', '等待', '時間', '沒有', '很', '久', '一', '進', '門', '醫生', '看', '了', '三', '秒鐘', '只', '問', '要', '自費', '雷射', '還是', '轉診', '大', '醫院', '⋯', '完全', '沒有', '解釋', '皮膚', '的', '問題', '當下', '滿', '頭', '問號', '我', '都', '不', '知道', '這', '是', '怎麼', '一', '回', '事', '要', '我', '怎麼', '決定', '治療', '方法', '當', '我', '再', '追問', '下去', '時', '旁邊', '的', '助理', '小姐', '立馬', '說', '時間', '到', '了', '要', '請', '我', '出去', '我', '從', '進診', '間', '到', '出門', '不到', '五', '分鐘', '⋯出', '診間', '助理', '小姐', '當', '著', '大家', '面前', '大聲', '說', '我', '的', '病情', '又', '是', '另', '一', '件', '事', '了', '⋯']",1
"['今天', '回診人', '一樣', '爆', '多', '的', '在', '旁邊', '看到', '有些', '等待', '的', '人', '真的', '態度', '很', '差臉', '很', '臭', '幾十', '雙', '眼睛', '盯', '著', '一', '個', '櫃檯', '我', '在', '旁邊', '看', '都', '覺得', '很', '佩服', '櫃檯', '的', '抗壓性', '但', '看', '小姐', '要', '一邊', '掛號', '一邊', '撕單一邊', '接', '電話', '一邊', '收錢', '還要', '應', '對問', '問題', '的', '問', '號碼', '的', '催促', '的', '等', '手', '邊', '工作', '都', '沒', '停下來', '過', '也', '是', '很', '盡力', '了', '值得', '加許', '的', '是', '今天', '的', '櫃檯', '小姐', '是', '上', '次', '有', '幫', '我', '換', '藥', '的', '那', '個', '瘦瘦', '年輕', '護理師', '一樣', '有', '耐心', '完全', '沒', '擺', '臭臉', '也', '不會', '因為', '忙碌', '把', '明細', '丟', '桌', '上', '還', '會', '說', '聲', '抱歉', '久', '等', '了', '一', '個', '眼神', '一', '個', '動作', '跟', '語氣', '一樣', '漫長', '的', '等待', '就', '是', '讓', '人', '感受', '不', '一樣', '我', '自己', '開', '公司', '都', '想', '挖角', '了', '忍不住', '上來', '特別', '給', '一', '個', '讚👍']",5
"['良醫', '不會', '只要', '病人', '求診', '就', '打', '一', '針', '類固醇', '蓋住', '問題', '照', '醫師', '建議', '認真', '服藥', '我', '的', '慢性', '尋', '麻疹', '改善', '啦']",5
"['1019', '點', '痣', '早上', '進去', '不用', '等', '太', '久', '醫師', '跟', '助理', '都', '很', '有', '耐心', '講話', '也', '都', '很', '溫柔', '而且', '是', '女', '醫師', '問診', '的', '時候', '解釋', '一', '次', '並且', '給', '清楚', '的', '衛教', '單打', '之前', '會', '先', '上', '麻藥', '之前', '去', '別', '間', '根本', '不管', '你', '直接', '打', '的', '超痛', '結束', '之後', '護理師', '會', '再', '叮嚀', '一', '次', '可能', '我', '只', '點', '一', '顆', '痣', '醫師', '還給', '我', '其他', '備用', '藥膏']",5
